, CON, GRN, LAB, LD, PC, REF, SNP,
0,0.81966395,-0.029065981,-0.473174791,-0.073274835,0.006186934,-0.307746992,0.057411715,4.87804E-15
1,0.151825821,-0.197389318,0.713676186,-0.062131033,-0.01438215,-0.649063521,0.057464016,-5.93622E-14
2,-0.28810457,0.329670538,-0.272733967,0.67234694,0.01816929,-0.526362796,0.067014564,3.2252E-14
